----------------------------------------------
| المهمة             | الإنجاز | المتبقي        |
|--------------------|---------|---------------|
| إعداد البيئة       | 100%    | اكتملت        |
| RFC نهائي          | 90%     | 2 أيام        |
| تقسيم المهام       | 80%     | 1 يوم         |
| تدريب الأساسيات    | 25%     | 3 أسابيع      |
| التصميم المعماري   | 30%     | 2 أسابيع      |
| مولّد الكود        | 15%     | 4 أسابيع      |
| UX/UI              | 10%     | 3 أسابيع      |
| الاختبارات         | 0%      | 4 أسابيع      |
| التوثيق            | 5%      | 2 أسابيع      |
----------------------------------------------
